pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,color,n
East Village,Bushwick North,2,-73.9815337,40.7264773,-73.9212858,40.6944282,yellow,570
East Village,East Chelsea,0,-73.9815337,40.7264773,-74.0013737,40.7465004,yellow,570
Financial District North,East Village,18,-74.0112764,40.7074909,-73.9815337,40.7264773,yellow,570
Flatiron,Flatiron,8,-73.9896986,40.7410605,-73.9896986,40.7410605,yellow,570
Flatiron,Lenox Hill East,12,-73.9896986,40.7410605,-73.9602312,40.7662315,yellow,570
Flatiron,Little Italy/NoLiTa,8,-73.9896986,40.7410605,-73.9954909,40.7228971,yellow,570
Flatiron,Stuy Town/Peter Cooper Village,22,-73.9896986,40.7410605,-73.9778494,40.7316903,yellow,570
Garment District,Central Harlem,14,-73.9916342,40.7547072,-73.9538699,40.7988378,yellow,570
Garment District,Central Harlem,18,-73.9916342,40.7547072,-73.9538699,40.7988378,yellow,570
Garment District,East Chelsea,2,-73.9916342,40.7547072,-74.0013737,40.7465004,yellow,570
Garment District,East Village,14,-73.9916342,40.7547072,-73.9815337,40.7264773,yellow,570
Garment District,Financial District North,20,-73.9916342,40.7547072,-74.0112764,40.7074909,yellow,570
Gramercy,Lenox Hill East,20,-73.9818443,40.7376407,-73.9602312,40.7662315,yellow,570
Gramercy,Midtown Center,18,-73.9818443,40.7376407,-73.9784137,40.7553676,yellow,570
Greenwich Village North,Greenwich Village North,14,-74.0027418,40.7335719,-74.0027418,40.7335719,yellow,570
Greenwich Village North,Midtown Center,12,-74.0027418,40.7335719,-73.9784137,40.7553676,yellow,570
JFK Airport,Murray Hill,10,-73.7781391,40.6413111,-73.9756567,40.7478792,yellow,570
JFK Airport,South Williamsburg,18,-73.7781391,40.6413111,-73.9570696,40.7081156,yellow,570
JFK Airport,Yorkville East,0,-73.7781391,40.6413111,-73.9492079,40.7762231,yellow,570
Kips Bay,Lincoln Square East,22,-73.9800645,40.7423292,-73.9844722,40.773828,yellow,570
Lenox Hill East,Midtown East,0,-73.9602312,40.7662315,-73.9668408,40.7540369,yellow,570
Lincoln Square East,Flatiron,20,-73.9844722,40.773828,-73.9896986,40.7410605,yellow,570
Lincoln Square East,Lenox Hill East,0,-73.9844722,40.773828,-73.9602312,40.7662315,yellow,570
Lincoln Square East,Midtown Center,4,-73.9844722,40.773828,-73.9784137,40.7553676,yellow,570
Long Island City/Queens Plaza,Long Island City/Queens Plaza,22,-73.9373702,40.7487173,-73.9373702,40.7487173,yellow,570
Lower East Side,East Village,20,-73.9842724,40.715033,-73.9815337,40.7264773,yellow,570
Meatpacking/West Village West,Murray Hill,20,-74.0085128,40.7406973,-73.9756567,40.7478792,yellow,570
Midtown Center,Battery Park,10,-73.9784137,40.7553676,-74.0170279,40.7032775,yellow,570
Midtown Center,Flatiron,6,-73.9784137,40.7553676,-73.9896986,40.7410605,yellow,570
Midtown Center,Gramercy,10,-73.9784137,40.7553676,-73.9818443,40.7376407,yellow,570
Midtown Center,Stuyvesant Heights,0,-73.9784137,40.7553676,-73.9880663,40.7299553,yellow,570
Midtown Center,Stuyvesant Heights,10,-73.9784137,40.7553676,-73.9880663,40.7299553,yellow,570
Midtown Center,UN/Turtle Bay South,8,-73.9784137,40.7553676,-73.9694292,40.7507161,yellow,570
Midtown Center,UN/Turtle Bay South,10,-73.9784137,40.7553676,-73.9694292,40.7507161,yellow,570
Midtown East,Roosevelt Island,10,-73.9668408,40.7540369,-73.9499426,40.7621302,yellow,570
Midtown North,Upper West Side North,0,-73.9840195,40.7549309,-73.9753676,40.7870106,yellow,570
Murray Hill,Hudson Sq,8,-73.9756567,40.7478792,-74.0074731,40.7265834,yellow,570
Murray Hill,Lincoln Square East,8,-73.9756567,40.7478792,-73.9844722,40.773828,yellow,570
Murray Hill,Murray Hill,0,-73.9756567,40.7478792,-73.9756567,40.7478792,yellow,570
Murray Hill,UN/Turtle Bay South,6,-73.9756567,40.7478792,-73.9694292,40.7507161,yellow,570
Roosevelt Island,Yorkville East,10,-73.9499426,40.7621302,-73.9492079,40.7762231,yellow,570
SoHo,Financial District North,20,-74.0029883,40.723301,-74.0112764,40.7074909,yellow,570
SoHo,Hudson Sq,8,-74.0029883,40.723301,-74.0074731,40.7265834,yellow,570
SoHo,Upper East Side North,20,-74.0029883,40.723301,-73.9565551,40.7735649,yellow,570
SoHo,World Trade Center,18,-74.0029883,40.723301,-74.0131196,40.7118011,yellow,570
South Williamsburg,Bushwick North,2,-73.9570696,40.7081156,-73.9212858,40.6944282,yellow,570
Stuy Town/Peter Cooper Village,Kips Bay,8,-73.9778494,40.7316903,-73.9800645,40.7423292,yellow,570
Stuy Town/Peter Cooper Village,Kips Bay,12,-73.9778494,40.7316903,-73.9800645,40.7423292,yellow,570
Stuy Town/Peter Cooper Village,Murray Hill,20,-73.9778494,40.7316903,-73.9756567,40.7478792,yellow,570
Stuyvesant Heights,Upper East Side North,2,-73.9880663,40.7299553,-73.9565551,40.7735649,yellow,570
Sutton Place/Turtle Bay North,Lenox Hill East,22,-73.9601669,40.7580204,-73.9602312,40.7662315,yellow,570
Sutton Place/Turtle Bay North,Times Sq/Theatre District,22,-73.9601669,40.7580204,-73.9841274,40.7592686,yellow,570
Times Sq/Theatre District,East Village,20,-73.9841274,40.7592686,-73.9815337,40.7264773,yellow,570
Times Sq/Theatre District,SoHo,16,-73.9841274,40.7592686,-74.0029883,40.723301,yellow,570
Times Sq/Theatre District,World Trade Center,14,-73.9841274,40.7592686,-74.0131196,40.7118011,yellow,570
UN/Turtle Bay South,East Elmhurst,12,-73.9694292,40.7507161,-73.8713099,40.7737505,yellow,570
UN/Turtle Bay South,Midtown East,10,-73.9694292,40.7507161,-73.9668408,40.7540369,yellow,570
UN/Turtle Bay South,Midtown North,8,-73.9694292,40.7507161,-73.9840195,40.7549309,yellow,570
Union Sq,East Village,12,-73.9910835,40.7358633,-73.9815337,40.7264773,yellow,570
Union Sq,Upper West Side North,22,-73.9910835,40.7358633,-73.9753676,40.7870106,yellow,570
Upper East Side North,East Chelsea,8,-73.9565551,40.7735649,-74.0013737,40.7465004,yellow,570
Upper East Side North,Flatiron,10,-73.9565551,40.7735649,-73.9896986,40.7410605,yellow,570
Upper East Side North,Flatiron,16,-73.9565551,40.7735649,-73.9896986,40.7410605,yellow,570
Upper East Side North,Midtown North,20,-73.9565551,40.7735649,-73.9840195,40.7549309,yellow,570
Upper East Side North,Seaport,8,-73.9565551,40.7735649,-74.006884,40.711197,yellow,570
Upper West Side North,East Chelsea,12,-73.9753676,40.7870106,-74.0013737,40.7465004,yellow,570
Upper West Side North,East Elmhurst,14,-73.9753676,40.7870106,-73.8713099,40.7737505,yellow,570
Upper West Side North,JFK Airport,6,-73.9753676,40.7870106,-73.7781391,40.6413111,yellow,570
West Village,Greenwich Village North,16,-74.0035709,40.735781,-74.0027418,40.7335719,yellow,570
West Village,Penn Station/Madison Sq West,14,-74.0035709,40.735781,-73.9880662,40.7433858,yellow,570
World Trade Center,Meatpacking/West Village West,18,-74.0131196,40.7118011,-74.0085128,40.7406973,yellow,570
World Trade Center,SoHo,16,-74.0131196,40.7118011,-74.0029883,40.723301,yellow,570
Yorkville East,Times Sq/Theatre District,20,-73.9492079,40.7762231,-73.9841274,40.7592686,yellow,570
Battery Park City,Battery Park,8,-74.0160576,40.7122172,-74.0170279,40.7032775,yellow,560
Battery Park City,SoHo,18,-74.0160576,40.7122172,-74.0029883,40.723301,yellow,560
Bloomingdale,Lenox Hill East,16,-73.9697795,40.7988958,-73.9602312,40.7662315,yellow,560
Central Harlem,Lenox Hill East,10,-73.9538699,40.7988378,-73.9602312,40.7662315,yellow,560
Central Harlem,Lenox Hill East,14,-73.9538699,40.7988378,-73.9602312,40.7662315,yellow,560
Central Park,East Elmhurst,16,-73.9741874,40.7711329,-73.8713099,40.7737505,yellow,560
Central Park,Flatiron,20,-73.9741874,40.7711329,-73.9896986,40.7410605,yellow,560
Central Park,Little Italy/NoLiTa,10,-73.9741874,40.7711329,-73.9954909,40.7228971,yellow,560
Central Park,Meatpacking/West Village West,20,-73.9741874,40.7711329,-74.0085128,40.7406973,yellow,560
Central Park,Midtown East,0,-73.9741874,40.7711329,-73.9668408,40.7540369,yellow,560
Central Park,Sutton Place/Turtle Bay North,10,-73.9741874,40.7711329,-73.9601669,40.7580204,yellow,560
Chinatown,Garment District,22,-73.9970307,40.7157509,-73.9916342,40.7547072,yellow,560
Clinton East,Lenox Hill East,12,-73.9918181,40.7637581,-73.9602312,40.7662315,yellow,560
Clinton East,Lenox Hill East,14,-73.9918181,40.7637581,-73.9602312,40.7662315,yellow,560
Clinton East,Midtown North,14,-73.9918181,40.7637581,-73.9840195,40.7549309,yellow,560
Clinton East,Upper West Side North,2,-73.9918181,40.7637581,-73.9753676,40.7870106,yellow,560
Clinton East,West Village,0,-73.9918181,40.7637581,-74.0035709,40.735781,yellow,560
East Chelsea,Breezy Point/Fort Tilden/Riis Beach,18,-74.0013737,40.7465004,-74.0059413,40.7127837,yellow,560
East Chelsea,Upper East Side North,12,-74.0013737,40.7465004,-73.9565551,40.7735649,yellow,560
East Chelsea,Upper East Side North,16,-74.0013737,40.7465004,-73.9565551,40.7735649,yellow,560
East Elmhurst,Astoria,16,-73.8713099,40.7737505,-73.9234619,40.7643574,yellow,560
East Elmhurst,Clinton East,18,-73.8713099,40.7737505,-73.9918181,40.7637581,yellow,560
East Elmhurst,Kips Bay,22,-73.8713099,40.7737505,-73.9800645,40.7423292,yellow,560
East Elmhurst,Long Island City/Hunters Point,22,-73.8713099,40.7737505,-73.95639,40.74128,yellow,560
East Elmhurst,Stuyvesant Heights,18,-73.8713099,40.7737505,-73.9880663,40.7299553,yellow,560
East Village,Garment District,8,-73.9815337,40.7264773,-73.9916342,40.7547072,yellow,560
East Village,SoHo,0,-73.9815337,40.7264773,-74.0029883,40.723301,yellow,560
East Village,Stuy Town/Peter Cooper Village,0,-73.9815337,40.7264773,-73.9778494,40.7316903,yellow,560
Financial District North,East Village,20,-74.0112764,40.7074909,-73.9815337,40.7264773,yellow,560
Financial District North,SoHo,10,-74.0112764,40.7074909,-74.0029883,40.723301,yellow,560
Financial District North,SoHo,20,-74.0112764,40.7074909,-74.0029883,40.723301,yellow,560
Garment District,Roosevelt Island,6,-73.9916342,40.7547072,-73.9499426,40.7621302,yellow,560
Garment District,Stuy Town/Peter Cooper Village,16,-73.9916342,40.7547072,-73.9778494,40.7316903,yellow,560
Garment District,Sutton Place/Turtle Bay North,16,-73.9916342,40.7547072,-73.9601669,40.7580204,yellow,560
Greenwich Village North,Financial District North,20,-74.0027418,40.7335719,-74.0112764,40.7074909,yellow,560
Greenwich Village North,Midtown East,20,-74.0027418,40.7335719,-73.9668408,40.7540369,yellow,560
Greenwich Village North,Seaport,22,-74.0027418,40.7335719,-74.006884,40.711197,yellow,560
Greenwich Village North,Stuy Town/Peter Cooper Village,22,-74.0027418,40.7335719,-73.9778494,40.7316903,yellow,560
Hudson Sq,Garment District,22,-74.0074731,40.7265834,-73.9916342,40.7547072,yellow,560
Hudson Sq,Little Italy/NoLiTa,14,-74.0074731,40.7265834,-73.9954909,40.7228971,yellow,560
JFK Airport,Central Park,12,-73.7781391,40.6413111,-73.9741874,40.7711329,yellow,560
JFK Airport,South Jamaica,18,-73.7781391,40.6413111,-73.7919103,40.6808594,yellow,560
JFK Airport,Yorkville East,14,-73.7781391,40.6413111,-73.9492079,40.7762231,yellow,560
Kips Bay,Gramercy,6,-73.9800645,40.7423292,-73.9818443,40.7376407,yellow,560
Lenox Hill East,Bloomingdale,22,-73.9602312,40.7662315,-73.9697795,40.7988958,yellow,560
Lenox Hill East,East Elmhurst,10,-73.9602312,40.7662315,-73.8713099,40.7737505,yellow,560
Lincoln Square East,Little Italy/NoLiTa,22,-73.9844722,40.773828,-73.9954909,40.7228971,yellow,560
Little Italy/NoLiTa,Clinton East,18,-73.9954909,40.7228971,-73.9918181,40.7637581,yellow,560
Little Italy/NoLiTa,Seaport,2,-73.9954909,40.7228971,-74.006884,40.711197,yellow,560
Little Italy/NoLiTa,Times Sq/Theatre District,12,-73.9954909,40.7228971,-73.9841274,40.7592686,yellow,560
Meatpacking/West Village West,Central Park,12,-74.0085128,40.7406973,-73.9741874,40.7711329,yellow,560
Meatpacking/West Village West,World Trade Center,14,-74.0085128,40.7406973,-74.0131196,40.7118011,yellow,560
Midtown Center,Battery Park,8,-73.9784137,40.7553676,-74.0170279,40.7032775,yellow,560
Midtown Center,Bloomingdale,18,-73.9784137,40.7553676,-73.9697795,40.7988958,yellow,560
Midtown Center,West Village,14,-73.9784137,40.7553676,-74.0035709,40.735781,yellow,560
Midtown East,Central Harlem,20,-73.9668408,40.7540369,-73.9538699,40.7988378,yellow,560
Midtown East,Stuyvesant Heights,12,-73.9668408,40.7540369,-73.9880663,40.7299553,yellow,560
Midtown East,Stuyvesant Heights,14,-73.9668408,40.7540369,-73.9880663,40.7299553,yellow,560
Midtown North,Clinton East,2,-73.9840195,40.7549309,-73.9918181,40.7637581,yellow,560
Midtown North,Meatpacking/West Village West,10,-73.9840195,40.7549309,-74.0085128,40.7406973,yellow,560
Midtown North,Upper West Side North,14,-73.9840195,40.7549309,-73.9753676,40.7870106,yellow,560
Midtown North,World Trade Center,10,-73.9840195,40.7549309,-74.0131196,40.7118011,yellow,560
Midtown North,Yorkville East,16,-73.9840195,40.7549309,-73.9492079,40.7762231,yellow,560
Morningside Heights,Bloomingdale,10,-73.9624327,40.8089564,-73.9697795,40.7988958,yellow,560
Penn Station/Madison Sq West,Financial District North,20,-73.9880662,40.7433858,-74.0112764,40.7074909,yellow,560
Penn Station/Madison Sq West,Hudson Sq,18,-73.9880662,40.7433858,-74.0074731,40.7265834,yellow,560
Seaport,Chinatown,12,-74.006884,40.711197,-73.9970307,40.7157509,yellow,560
Seaport,Little Italy/NoLiTa,20,-74.006884,40.711197,-73.9954909,40.7228971,yellow,560
Seaport,Lower East Side,18,-74.006884,40.711197,-73.9842724,40.715033,yellow,560
SoHo,Hudson Sq,12,-74.0029883,40.723301,-74.0074731,40.7265834,yellow,560
SoHo,Little Italy/NoLiTa,2,-74.0029883,40.723301,-73.9954909,40.7228971,yellow,560
Stuyvesant Heights,Lower East Side,16,-73.9880663,40.7299553,-73.9842724,40.715033,yellow,560
Stuyvesant Heights,Union Sq,2,-73.9880663,40.7299553,-73.9910835,40.7358633,yellow,560
Sutton Place/Turtle Bay North,UN/Turtle Bay South,18,-73.9601669,40.7580204,-73.9694292,40.7507161,yellow,560
UN/Turtle Bay South,Central Park,10,-73.9694292,40.7507161,-73.9741874,40.7711329,yellow,560
Union Sq,Breezy Point/Fort Tilden/Riis Beach,18,-73.9910835,40.7358633,-74.0059413,40.7127837,yellow,560
Union Sq,Central Park,16,-73.9910835,40.7358633,-73.9741874,40.7711329,yellow,560
Upper East Side North,Flatiron,18,-73.9565551,40.7735649,-73.9896986,40.7410605,yellow,560
Upper East Side North,Little Italy/NoLiTa,20,-73.9565551,40.7735649,-73.9954909,40.7228971,yellow,560
Upper East Side North,Meatpacking/West Village West,18,-73.9565551,40.7735649,-74.0085128,40.7406973,yellow,560
Upper East Side North,UN/Turtle Bay South,6,-73.9565551,40.7735649,-73.9694292,40.7507161,yellow,560
Upper East Side North,Union Sq,16,-73.9565551,40.7735649,-73.9910835,40.7358633,yellow,560
Upper West Side North,East Chelsea,14,-73.9753676,40.7870106,-74.0013737,40.7465004,yellow,560
Upper West Side North,Hamilton Heights,18,-73.9753676,40.7870106,-73.9496079,40.8259597,yellow,560
West Village,Gramercy,22,-74.0035709,40.735781,-73.9818443,40.7376407,yellow,560
West Village,Greenwich Village North,10,-74.0035709,40.735781,-74.0027418,40.7335719,yellow,560
West Village,Hudson Sq,14,-74.0035709,40.735781,-74.0074731,40.7265834,yellow,560
West Village,Meatpacking/West Village West,2,-74.0035709,40.735781,-74.0085128,40.7406973,yellow,560
Yorkville East,JFK Airport,14,-73.9492079,40.7762231,-73.7781391,40.6413111,yellow,560
Yorkville East,Roosevelt Island,18,-73.9492079,40.7762231,-73.9499426,40.7621302,yellow,560
Battery Park City,East Chelsea,12,-74.0160576,40.7122172,-74.0013737,40.7465004,yellow,550
Bloomingdale,Hamilton Heights,0,-73.9697795,40.7988958,-73.9496079,40.8259597,yellow,550
Bloomingdale,Manhattanville,20,-73.9697795,40.7988958,-73.9558333,40.8169443,yellow,550
Breezy Point/Fort Tilden/Riis Beach,Financial District North,14,-74.0059413,40.7127837,-74.0112764,40.7074909,yellow,550
Breezy Point/Fort Tilden/Riis Beach,Little Italy/NoLiTa,14,-74.0059413,40.7127837,-73.9954909,40.7228971,yellow,550
Central Park,Little Italy/NoLiTa,16,-73.9741874,40.7711329,-73.9954909,40.7228971,yellow,550
Central Park,Little Italy/NoLiTa,20,-73.9741874,40.7711329,-73.9954909,40.7228971,yellow,550
Clinton East,Bloomingdale,16,-73.9918181,40.7637581,-73.9697795,40.7988958,yellow,550
Clinton East,Flatiron,16,-73.9918181,40.7637581,-73.9896986,40.7410605,yellow,550
Clinton East,Hamilton Heights,2,-73.9918181,40.7637581,-73.9496079,40.8259597,yellow,550
East Chelsea,East Village,0,-74.0013737,40.7465004,-73.9815337,40.7264773,yellow,550
East Chelsea,Kips Bay,6,-74.0013737,40.7465004,-73.9800645,40.7423292,yellow,550
East Chelsea,Murray Hill,14,-74.0013737,40.7465004,-73.9756567,40.7478792,yellow,550
East Elmhurst,Central Park,18,-73.8713099,40.7737505,-73.9741874,40.7711329,yellow,550
East Elmhurst,East Chelsea,16,-73.8713099,40.7737505,-74.0013737,40.7465004,yellow,550
East Elmhurst,JFK Airport,14,-73.8713099,40.7737505,-73.7781391,40.6413111,yellow,550
East Elmhurst,Long Island City/Hunters Point,18,-73.8713099,40.7737505,-73.95639,40.74128,yellow,550
East Elmhurst,Stuyvesant Heights,20,-73.8713099,40.7737505,-73.9880663,40.7299553,yellow,550
East Village,East Village,18,-73.9815337,40.7264773,-73.9815337,40.7264773,yellow,550
East Village,Garment District,18,-73.9815337,40.7264773,-73.9916342,40.7547072,yellow,550
East Village,Gramercy,20,-73.9815337,40.7264773,-73.9818443,40.7376407,yellow,550
Financial District North,Garment District,20,-74.0112764,40.7074909,-73.9916342,40.7547072,yellow,550
Financial District North,Stuyvesant Heights,20,-74.0112764,40.7074909,-73.9880663,40.7299553,yellow,550
Flatiron,Hudson Sq,18,-73.9896986,40.7410605,-74.0074731,40.7265834,yellow,550
Flatiron,Lincoln Square East,10,-73.9896986,40.7410605,-73.9844722,40.773828,yellow,550
Garment District,World Trade Center,16,-73.9916342,40.7547072,-74.0131196,40.7118011,yellow,550
Gramercy,Financial District North,8,-73.9818443,40.7376407,-74.0112764,40.7074909,yellow,550
Gramercy,Union Sq,22,-73.9818443,40.7376407,-73.9910835,40.7358633,yellow,550
Greenwich Village North,Kips Bay,18,-74.0027418,40.7335719,-73.9800645,40.7423292,yellow,550
Greenwich Village North,Murray Hill,2,-74.0027418,40.7335719,-73.9756567,40.7478792,yellow,550
Greenwich Village North,Murray Hill,18,-74.0027418,40.7335719,-73.9756567,40.7478792,yellow,550
Hudson Sq,SoHo,10,-74.0074731,40.7265834,-74.0029883,40.723301,yellow,550
Hudson Sq,Union Sq,10,-74.0074731,40.7265834,-73.9910835,40.7358633,yellow,550
JFK Airport,Clinton East,14,-73.7781391,40.6413111,-73.9918181,40.7637581,yellow,550
JFK Airport,Garment District,6,-73.7781391,40.6413111,-73.9916342,40.7547072,yellow,550
JFK Airport,Upper East Side North,16,-73.7781391,40.6413111,-73.9565551,40.7735649,yellow,550
JFK Airport,Yorkville East,6,-73.7781391,40.6413111,-73.9492079,40.7762231,yellow,550
Kips Bay,Times Sq/Theatre District,16,-73.9800645,40.7423292,-73.9841274,40.7592686,yellow,550
Lenox Hill East,Little Italy/NoLiTa,18,-73.9602312,40.7662315,-73.9954909,40.7228971,yellow,550
Lenox Hill East,UN/Turtle Bay South,6,-73.9602312,40.7662315,-73.9694292,40.7507161,yellow,550
Lincoln Square East,Astoria,22,-73.9844722,40.773828,-73.9234619,40.7643574,yellow,550
Lincoln Square East,East Elmhurst,16,-73.9844722,40.773828,-73.8713099,40.7737505,yellow,550
Little Italy/NoLiTa,Chinatown,14,-73.9954909,40.7228971,-73.9970307,40.7157509,yellow,550
Little Italy/NoLiTa,Meatpacking/West Village West,10,-73.9954909,40.7228971,-74.0085128,40.7406973,yellow,550
Meatpacking/West Village West,Gramercy,2,-74.0085128,40.7406973,-73.9818443,40.7376407,yellow,550
Meatpacking/West Village West,Hudson Sq,16,-74.0085128,40.7406973,-74.0074731,40.7265834,yellow,550
Meatpacking/West Village West,Hudson Sq,20,-74.0085128,40.7406973,-74.0074731,40.7265834,yellow,550
Meatpacking/West Village West,Lower East Side,2,-74.0085128,40.7406973,-73.9842724,40.715033,yellow,550
Meatpacking/West Village West,Meatpacking/West Village West,20,-74.0085128,40.7406973,-74.0085128,40.7406973,yellow,550
Meatpacking/West Village West,Yorkville East,22,-74.0085128,40.7406973,-73.9492079,40.7762231,yellow,550
Midtown Center,Central Harlem,14,-73.9784137,40.7553676,-73.9538699,40.7988378,yellow,550
Midtown Center,Financial District North,18,-73.9784137,40.7553676,-74.0112764,40.7074909,yellow,550
Midtown Center,UN/Turtle Bay South,16,-73.9784137,40.7553676,-73.9694292,40.7507161,yellow,550
Midtown East,Greenwich Village North,22,-73.9668408,40.7540369,-74.0027418,40.7335719,yellow,550
Midtown East,Little Italy/NoLiTa,10,-73.9668408,40.7540369,-73.9954909,40.7228971,yellow,550
Midtown East,West Village,20,-73.9668408,40.7540369,-74.0035709,40.735781,yellow,550
Midtown North,West Village,20,-73.9840195,40.7549309,-74.0035709,40.735781,yellow,550
Penn Station/Madison Sq West,Chinatown,18,-73.9880662,40.7433858,-73.9970307,40.7157509,yellow,550
Penn Station/Madison Sq West,Hudson Sq,12,-73.9880662,40.7433858,-74.0074731,40.7265834,yellow,550
Penn Station/Madison Sq West,JFK Airport,18,-73.9880662,40.7433858,-73.7781391,40.6413111,yellow,550
Penn Station/Madison Sq West,Penn Station/Madison Sq West,6,-73.9880662,40.7433858,-73.9880662,40.7433858,yellow,550
Penn Station/Madison Sq West,South Williamsburg,22,-73.9880662,40.7433858,-73.9570696,40.7081156,yellow,550
Penn Station/Madison Sq West,Upper West Side North,16,-73.9880662,40.7433858,-73.9753676,40.7870106,yellow,550
Randalls Island,Yorkville East,18,-73.9271644,40.7891291,-73.9492079,40.7762231,yellow,550
Roosevelt Island,Lenox Hill East,8,-73.9499426,40.7621302,-73.9602312,40.7662315,yellow,550
Roosevelt Island,Midtown Center,12,-73.9499426,40.7621302,-73.9784137,40.7553676,yellow,550
Seaport,Stuyvesant Heights,20,-74.006884,40.711197,-73.9880663,40.7299553,yellow,550
SoHo,Battery Park City,20,-74.0029883,40.723301,-74.0160576,40.7122172,yellow,550
SoHo,Garment District,0,-74.0029883,40.723301,-73.9916342,40.7547072,yellow,550
SoHo,Midtown Center,22,-74.0029883,40.723301,-73.9784137,40.7553676,yellow,550
SoHo,Midtown North,18,-74.0029883,40.723301,-73.9840195,40.7549309,yellow,550
SoHo,Murray Hill,20,-74.0029883,40.723301,-73.9756567,40.7478792,yellow,550
SoHo,Penn Station/Madison Sq West,0,-74.0029883,40.723301,-73.9880662,40.7433858,yellow,550
SoHo,West Village,12,-74.0029883,40.723301,-74.0035709,40.735781,yellow,550
Stuy Town/Peter Cooper Village,Union Sq,16,-73.9778494,40.7316903,-73.9910835,40.7358633,yellow,550
Stuyvesant Heights,Financial District North,2,-73.9880663,40.7299553,-74.0112764,40.7074909,yellow,550
Stuyvesant Heights,Greenwich Village North,8,-73.9880663,40.7299553,-74.0027418,40.7335719,yellow,550
Stuyvesant Heights,Midtown East,2,-73.9880663,40.7299553,-73.9668408,40.7540369,yellow,550
Stuyvesant Heights,Midtown North,22,-73.9880663,40.7299553,-73.9840195,40.7549309,yellow,550
Stuyvesant Heights,Yorkville East,18,-73.9880663,40.7299553,-73.9492079,40.7762231,yellow,550
Times Sq/Theatre District,Lincoln Square East,4,-73.9841274,40.7592686,-73.9844722,40.773828,yellow,550
Times Sq/Theatre District,Sutton Place/Turtle Bay North,16,-73.9841274,40.7592686,-73.9601669,40.7580204,yellow,550
Times Sq/Theatre District,Union Sq,12,-73.9841274,40.7592686,-73.9910835,40.7358633,yellow,550
Times Sq/Theatre District,Washington Heights North,0,-73.9841274,40.7592686,-73.9393554,40.8417082,yellow,550
UN/Turtle Bay South,Penn Station/Madison Sq West,18,-73.9694292,40.7507161,-73.9880662,40.7433858,yellow,550
UN/Turtle Bay South,Stuy Town/Peter Cooper Village,18,-73.9694292,40.7507161,-73.9778494,40.7316903,yellow,550
UN/Turtle Bay South,Times Sq/Theatre District,6,-73.9694292,40.7507161,-73.9841274,40.7592686,yellow,550
UN/Turtle Bay South,Times Sq/Theatre District,16,-73.9694292,40.7507161,-73.9841274,40.7592686,yellow,550
Union Sq,Clinton East,14,-73.9910835,40.7358633,-73.9918181,40.7637581,yellow,550
Union Sq,Hudson Sq,20,-73.9910835,40.7358633,-74.0074731,40.7265834,yellow,550
Upper East Side North,East Chelsea,14,-73.9565551,40.7735649,-74.0013737,40.7465004,yellow,550
Upper East Side North,Gramercy,18,-73.9565551,40.7735649,-73.9818443,40.7376407,yellow,550
Upper East Side North,Morningside Heights,18,-73.9565551,40.7735649,-73.9624327,40.8089564,yellow,550
Upper East Side North,Upper East Side North,2,-73.9565551,40.7735649,-73.9565551,40.7735649,yellow,550
Upper West Side North,East Harlem North,6,-73.9753676,40.7870106,-73.9464769,40.8115504,yellow,550
Upper West Side North,East Harlem North,10,-73.9753676,40.7870106,-73.9464769,40.8115504,yellow,550
Upper West Side North,Midtown North,12,-73.9753676,40.7870106,-73.9840195,40.7549309,yellow,550
West Village,Penn Station/Madison Sq West,12,-74.0035709,40.735781,-73.9880662,40.7433858,yellow,550
Yorkville East,Gramercy,6,-73.9492079,40.7762231,-73.9818443,40.7376407,yellow,550
Yorkville East,Midtown Center,4,-73.9492079,40.7762231,-73.9784137,40.7553676,yellow,550
Yorkville East,Penn Station/Madison Sq West,16,-73.9492079,40.7762231,-73.9880662,40.7433858,yellow,550
Yorkville East,Randalls Island,8,-73.9492079,40.7762231,-73.9271644,40.7891291,yellow,550
Central Park,Central Harlem,6,-73.9741874,40.7711329,-73.9538699,40.7988378,yellow,540
Central Park,Clinton East,0,-73.9741874,40.7711329,-73.9918181,40.7637581,yellow,540
Central Park,Kips Bay,10,-73.9741874,40.7711329,-73.9800645,40.7423292,yellow,540
Central Park,Midtown East,6,-73.9741874,40.7711329,-73.9668408,40.7540369,yellow,540
Clinton East,East Chelsea,4,-73.9918181,40.7637581,-74.0013737,40.7465004,yellow,540
Clinton East,East Village,22,-73.9918181,40.7637581,-73.9815337,40.7264773,yellow,540
Clinton East,Little Italy/NoLiTa,22,-73.9918181,40.7637581,-73.9954909,40.7228971,yellow,540
Clinton East,Midtown East,0,-73.9918181,40.7637581,-73.9668408,40.7540369,yellow,540
East Chelsea,Central Park,14,-74.0013737,40.7465004,-73.9741874,40.7711329,yellow,540
East Chelsea,Penn Station/Madison Sq West,6,-74.0013737,40.7465004,-73.9880662,40.7433858,yellow,540
East Chelsea,Stuyvesant Heights,8,-74.0013737,40.7465004,-73.9880663,40.7299553,yellow,540
East Elmhurst,Bloomingdale,16,-73.8713099,40.7737505,-73.9697795,40.7988958,yellow,540
East Elmhurst,Lenox Hill East,12,-73.8713099,40.7737505,-73.9602312,40.7662315,yellow,540
East Elmhurst,Lincoln Square East,8,-73.8713099,40.7737505,-73.9844722,40.773828,yellow,540
