pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,n
Sunnyside,Woodside,22,-73.9196324,40.7432759,-73.9036487,40.7512123,200
Astoria,Roosevelt Island,16,-73.9234619,40.7643574,-73.9509934,40.7605031,201
Briarwood/Jamaica Hills,Kew Gardens,0,-73.8273848,40.7126936,-73.8272029,40.705695,201
Central Harlem,Washington Heights North,16,-73.9538699,40.7988378,-73.9393554,40.8417082,201
Corona,Corona,22,-73.8642613,40.7449859,-73.8642613,40.7449859,201
East Harlem North,East Elmhurst,12,-73.9464769,40.8115504,-73.8713099,40.7737505,201
East Harlem North,West Concourse,20,-73.9464769,40.8115504,-73.9227554,40.8316761,201
Fort Greene,Marine Park/Floyd Bennett Field,0,-73.9741874,40.6920638,-73.9441579,40.6781784,201
Morningside Heights,Washington Heights North,8,-73.9624327,40.8089564,-73.9393554,40.8417082,201
Prospect Heights,Stuyvesant Heights,18,-73.9668408,40.6774196,-73.9330981,40.6882279,201
Washington Heights North,Inwood,18,-73.9393554,40.8417082,-73.9212019,40.8677145,201
Williamsburg (North Side),Park Slope,22,-73.9634429,40.7190424,-73.9805817,40.6681038,201
Clinton Hill,Williamsburg (North Side),18,-73.9639021,40.6893665,-73.9634429,40.7190424,202
Manhattanville,Central Harlem,10,-73.9558333,40.8169443,-73.9538699,40.7988378,202
Queensboro Hill,Astoria,14,-73.940358,40.7509287,-73.9234619,40.7643574,202
Rego Park,North Corona,14,-73.8624893,40.7255722,-73.8624893,40.7502698,202
Stuyvesant Heights,Marine Park/Floyd Bennett Field,0,-73.9330981,40.6882279,-73.9441579,40.6781784,202
Woodside,Old Astoria,16,-73.9036487,40.7512123,-73.892939,40.7328166,202
Boerum Hill,Marine Park/Floyd Bennett Field,14,-73.9844722,40.6848689,-73.9441579,40.6781784,203
Clinton Hill,Marine Park/Floyd Bennett Field,14,-73.9639021,40.6893665,-73.9441579,40.6781784,203
Clinton Hill,Prospect Heights,14,-73.9639021,40.6893665,-73.9668408,40.6774196,203
East Harlem North,East Concourse/Concourse Village,12,-73.9464769,40.8115504,-73.919308,40.824062,203
Elmhurst/Maspeth,Elmhurst,10,-73.8932385,40.7395973,-73.8801301,40.737975,203
Inwood,Inwood,18,-73.9212019,40.8677145,-73.9212019,40.8677145,203
Jamaica,Jamaica,12,-73.7889689,40.702677,-73.7889689,40.702677,203
Long Island City/Hunters Point,Williamsburg (North Side),14,-73.95639,40.74128,-73.9634429,40.7190424,203
Queensboro Hill,Long Island City/Hunters Point,20,-73.940358,40.7509287,-73.95639,40.74128,203
Boerum Hill,Stuyvesant Heights,0,-73.9844722,40.6848689,-73.9330981,40.6882279,204
Central Harlem,Washington Heights North,22,-73.9538699,40.7988378,-73.9393554,40.8417082,204
East Harlem North,Mott Haven/Port Morris,0,-73.9464769,40.8115504,-73.9218949,40.7992799,204
Elmhurst,Rego Park,16,-73.8801301,40.737975,-73.8624893,40.7255722,204
Greenpoint,Long Island City/Hunters Point,0,-73.9418603,40.7245448,-73.95639,40.74128,204
Jackson Heights,Astoria,20,-73.8830701,40.7556818,-73.9234619,40.7643574,204
Manhattanville,Morningside Heights,18,-73.9558333,40.8169443,-73.9624327,40.8089564,204
Morningside Heights,Yorkville East,20,-73.9624327,40.8089564,-73.9492079,40.7762231,204
Prospect Heights,Clinton Hill,14,-73.9668408,40.6774196,-73.9639021,40.6893665,204
Randalls Island,East Harlem North,22,-73.9271644,40.7891291,-73.9464769,40.8115504,204
Yorkville East,East Harlem North,14,-73.9492079,40.7762231,-73.9464769,40.8115504,204
Astoria,Long Island City/Queens Plaza,16,-73.9234619,40.7643574,-73.9373702,40.7487173,205
Astoria,Woodside,8,-73.9234619,40.7643574,-73.9036487,40.7512123,205
Central Harlem,Midtown Center,16,-73.9538699,40.7988378,-73.9784137,40.7553676,205
Fort Greene,Boerum Hill,12,-73.9741874,40.6920638,-73.9844722,40.6848689,205
Jackson Heights,Jackson Heights,6,-73.8830701,40.7556818,-73.8830701,40.7556818,205
Queensboro Hill,Astoria,0,-73.940358,40.7509287,-73.9234619,40.7643574,205
Sunnyside,Sunnyside,12,-73.9196324,40.7432759,-73.9196324,40.7432759,205
Sunnyside,Woodside,20,-73.9196324,40.7432759,-73.9036487,40.7512123,205
Elmhurst,Rego Park,14,-73.8801301,40.737975,-73.8624893,40.7255722,206
Forest Hills,Woodhaven,22,-73.8448469,40.718106,-73.8566087,40.6901366,206
Fort Greene,Marine Park/Floyd Bennett Field,14,-73.9741874,40.6920638,-73.9441579,40.6781784,206
Inwood,Inwood,14,-73.9212019,40.8677145,-73.9212019,40.8677145,206
Woodside,Elmhurst,20,-73.9036487,40.7512123,-73.8801301,40.737975,206
Briarwood/Jamaica Hills,South Ozone Park,22,-73.8273848,40.7126936,-73.8124984,40.6764003,207
Central Harlem,Garment District,12,-73.9538699,40.7988378,-73.9916342,40.7547072,207
East Harlem North,East Concourse/Concourse Village,20,-73.9464769,40.8115504,-73.919308,40.824062,207
Elmhurst,Jackson Heights,22,-73.8801301,40.737975,-73.8830701,40.7556818,207
Elmhurst,Sunnyside,14,-73.8801301,40.737975,-73.9196324,40.7432759,207
Elmhurst/Maspeth,East Elmhurst,6,-73.8932385,40.7395973,-73.8713099,40.7737505,207
Elmhurst/Maspeth,Elmhurst/Maspeth,10,-73.8932385,40.7395973,-73.8932385,40.7395973,207
Jamaica,South Ozone Park,16,-73.7889689,40.702677,-73.8124984,40.6764003,207
Long Island City/Hunters Point,East Elmhurst,6,-73.95639,40.74128,-73.8713099,40.7737505,207
Yorkville East,Bloomingdale,14,-73.9492079,40.7762231,-73.9697795,40.7988958,207
Corona,North Corona,16,-73.8642613,40.7449859,-73.8624893,40.7502698,208
Downtown Brooklyn/MetroTech,Clinton Hill,14,-73.9861433,40.6942409,-73.9639021,40.6893665,208
Downtown Brooklyn/MetroTech,Downtown Brooklyn/MetroTech,10,-73.9861433,40.6942409,-73.9861433,40.6942409,208
Manhattanville,Central Harlem,18,-73.9558333,40.8169443,-73.9538699,40.7988378,208
Rego Park,Corona,12,-73.8624893,40.7255722,-73.8642613,40.7449859,208
Rego Park,Flushing Meadows-Corona Park,16,-73.8624893,40.7255722,-73.8448469,40.7428054,208
Steinway,Jackson Heights,12,-73.9124667,40.7669996,-73.8830701,40.7556818,208
Central Harlem,Midtown East,10,-73.9538699,40.7988378,-73.9668408,40.7540369,209
Clinton Hill,Fort Greene,12,-73.9639021,40.6893665,-73.9741874,40.6920638,209
Elmhurst,Elmhurst/Maspeth,22,-73.8801301,40.737975,-73.8932385,40.7395973,209
Elmhurst,Rego Park,20,-73.8801301,40.737975,-73.8624893,40.7255722,209
Elmhurst/Maspeth,Elmhurst/Maspeth,4,-73.8932385,40.7395973,-73.8932385,40.7395973,209
Manhattanville,Manhattanville,14,-73.9558333,40.8169443,-73.9558333,40.8169443,209
Williamsburg (South Side),Stuyvesant Heights,18,-73.9517335,40.7079936,-73.9330981,40.6882279,209
Astoria,Long Island City/Queens Plaza,12,-73.9234619,40.7643574,-73.9373702,40.7487173,210
Boerum Hill,Downtown Brooklyn/MetroTech,10,-73.9844722,40.6848689,-73.9861433,40.6942409,210
Brooklyn Heights,Cobble Hill,22,-73.9932872,40.6960105,-73.9962255,40.686536,210
Central Harlem,Central Harlem,4,-73.9538699,40.7988378,-73.9538699,40.7988378,210
Cobble Hill,Gowanus,18,-73.9962255,40.686536,-73.9903489,40.6733364,210
Corona,Jackson Heights,0,-73.8642613,40.7449859,-73.8830701,40.7556818,210
Downtown Brooklyn/MetroTech,Cobble Hill,16,-73.9861433,40.6942409,-73.9962255,40.686536,210
East Harlem North,East Elmhurst,16,-73.9464769,40.8115504,-73.8713099,40.7737505,210
Hamilton Heights,Central Harlem,6,-73.9496079,40.8259597,-73.9538699,40.7988378,210
Morningside Heights,Upper West Side North,22,-73.9624327,40.8089564,-73.9753676,40.7870106,210
Morningside Heights,Yorkville East,14,-73.9624327,40.8089564,-73.9492079,40.7762231,210
Park Slope,Boerum Hill,22,-73.9805817,40.6681038,-73.9844722,40.6848689,210
Prospect Heights,Prospect-Lefferts Gardens,22,-73.9668408,40.6774196,-73.9506774,40.6590448,210
Williamsburg (North Side),Long Island City/Hunters Point,12,-73.9634429,40.7190424,-73.95639,40.74128,210
Brooklyn Heights,Park Slope,16,-73.9932872,40.6960105,-73.9805817,40.6681038,211
Carroll Gardens,Red Hook,18,-73.9991637,40.6795331,-74.0094471,40.6772802,211
Central Harlem,Garment District,20,-73.9538699,40.7988378,-73.9916342,40.7547072,211
Central Harlem,Midtown Center,14,-73.9538699,40.7988378,-73.9784137,40.7553676,211
Clinton Hill,Fort Greene,14,-73.9639021,40.6893665,-73.9741874,40.6920638,211
Forest Hills,Hillcrest/Pomonok,20,-73.8448469,40.718106,-73.8244593,40.7370967,211
Forest Hills,Woodhaven,20,-73.8448469,40.718106,-73.8566087,40.6901366,211
Hamilton Heights,Manhattanville,12,-73.9496079,40.8259597,-73.9558333,40.8169443,211
Little Italy/NoLiTa,Prospect Heights,18,-73.9904233,40.7065737,-73.9668408,40.6774196,211
Morningside Heights,Manhattanville,22,-73.9624327,40.8089564,-73.9558333,40.8169443,211
Park Slope,Green-Wood Cemetery,22,-73.9805817,40.6681038,-73.995692,40.659017,211
Washington Heights North,Lincoln Square East,16,-73.9393554,40.8417082,-73.9844722,40.773828,211
Williamsburg (North Side),Long Island City/Hunters Point,4,-73.9634429,40.7190424,-73.95639,40.74128,211
Woodside,Woodside,2,-73.9036487,40.7512123,-73.9036487,40.7512123,211
Astoria,Roosevelt Island,22,-73.9234619,40.7643574,-73.9509934,40.7605031,212
Boerum Hill,Crown Heights North,22,-73.9844722,40.6848689,-73.9447994,40.6681032,212
Central Harlem,Midtown Center,12,-73.9538699,40.7988378,-73.9784137,40.7553676,212
Central Harlem,Mott Haven/Port Morris,20,-73.9538699,40.7988378,-73.9218949,40.7992799,212
East Harlem North,Highbridge Park,18,-73.9464769,40.8115504,-73.9332427,40.8433959,212
Elmhurst,Woodside,14,-73.8801301,40.737975,-73.9036487,40.7512123,212
Elmhurst/Maspeth,Sunnyside,14,-73.8932385,40.7395973,-73.9196324,40.7432759,212
Forest Hills,Rego Park,2,-73.8448469,40.718106,-73.8624893,40.7255722,212
Fort Greene,Boerum Hill,20,-73.9741874,40.6920638,-73.9844722,40.6848689,212
Fort Greene,Fort Greene,22,-73.9741874,40.6920638,-73.9741874,40.6920638,212
Morningside Heights,Washington Heights North,14,-73.9624327,40.8089564,-73.9393554,40.8417082,212
Queensboro Hill,Astoria,12,-73.940358,40.7509287,-73.9234619,40.7643574,212
Stuyvesant Heights,Stuyvesant Heights,12,-73.9330981,40.6882279,-73.9330981,40.6882279,212
Williamsburg (North Side),Fort Greene,22,-73.9634429,40.7190424,-73.9741874,40.6920638,212
Woodside,Elmhurst/Maspeth,2,-73.9036487,40.7512123,-73.8932385,40.7395973,212
Woodside,Jackson Heights,12,-73.9036487,40.7512123,-73.8830701,40.7556818,212
Cobble Hill,Prospect Heights,14,-73.9962255,40.686536,-73.9668408,40.6774196,213
East Harlem North,East Elmhurst,6,-73.9464769,40.8115504,-73.8713099,40.7737505,213
Elmhurst,North Corona,20,-73.8801301,40.737975,-73.8624893,40.7502698,213
Flushing,College Point,0,-73.833079,40.7674987,-73.8389657,40.786395,213
Flushing,Flushing,18,-73.833079,40.7674987,-73.833079,40.7674987,213
Williamsburg (North Side),Bushwick North,18,-73.9634429,40.7190424,-73.9212858,40.6944282,213
Woodside,Astoria,12,-73.9036487,40.7512123,-73.9234619,40.7643574,213
Brooklyn Heights,Brooklyn Heights,14,-73.9932872,40.6960105,-73.9932872,40.6960105,214
East Harlem North,East Concourse/Concourse Village,8,-73.9464769,40.8115504,-73.919308,40.824062,214
Elmhurst/Maspeth,Corona,14,-73.8932385,40.7395973,-73.8642613,40.7449859,214
Fort Greene,Clinton Hill,10,-73.9741874,40.6920638,-73.9639021,40.6893665,214
Fort Greene,Stuyvesant Heights,0,-73.9741874,40.6920638,-73.9330981,40.6882279,214
Highbridge Park,Highbridge Park,12,-73.9332427,40.8433959,-73.9332427,40.8433959,214
Jackson Heights,Woodside,4,-73.8830701,40.7556818,-73.9036487,40.7512123,214
Marine Park/Floyd Bennett Field,Prospect Heights,14,-73.9441579,40.6781784,-73.9668408,40.6774196,214
Steinway,Woodside,14,-73.9124667,40.7669996,-73.9036487,40.7512123,214
Elmhurst,Elmhurst,10,-73.8801301,40.737975,-73.8801301,40.737975,215
Elmhurst,North Corona,16,-73.8801301,40.737975,-73.8624893,40.7502698,215
Park Slope,Cobble Hill,18,-73.9805817,40.6681038,-73.9962255,40.686536,215
Stuyvesant Heights,Marine Park/Floyd Bennett Field,22,-73.9330981,40.6882279,-73.9441579,40.6781784,215
Brooklyn Heights,Boerum Hill,14,-73.9932872,40.6960105,-73.9844722,40.6848689,216
Brooklyn Heights,Carroll Gardens,14,-73.9932872,40.6960105,-73.9991637,40.6795331,216
Hamilton Heights,Manhattanville,14,-73.9496079,40.8259597,-73.9558333,40.8169443,216
Jackson Heights,Woodside,8,-73.8830701,40.7556818,-73.9036487,40.7512123,216
Prospect Heights,Boerum Hill,14,-73.9668408,40.6774196,-73.9844722,40.6848689,216
Williamsburg (North Side),Marine Park/Floyd Bennett Field,20,-73.9634429,40.7190424,-73.9441579,40.6781784,216
Downtown Brooklyn/MetroTech,Downtown Brooklyn/MetroTech,12,-73.9861433,40.6942409,-73.9861433,40.6942409,217
East Harlem North,Lincoln Square East,16,-73.9464769,40.8115504,-73.9844722,40.773828,217
Greenpoint,Bushwick North,0,-73.9418603,40.7245448,-73.9212858,40.6944282,217
Jamaica,South Jamaica,16,-73.7889689,40.702677,-73.7919103,40.6808594,217
North Corona,Jackson Heights,20,-73.8624893,40.7502698,-73.8830701,40.7556818,217
Williamsburg (North Side),Lower East Side,18,-73.9634429,40.7190424,-73.9842724,40.715033,217
Williamsburg (South Side),Prospect Heights,0,-73.9517335,40.7079936,-73.9668408,40.6774196,217
Woodside,Elmhurst,16,-73.9036487,40.7512123,-73.8801301,40.737975,217
Yorkville East,Upper East Side North,12,-73.9492079,40.7762231,-73.9565551,40.7735649,217
Astoria,Woodside,2,-73.9234619,40.7643574,-73.9036487,40.7512123,218
Boerum Hill,Downtown Brooklyn/MetroTech,12,-73.9844722,40.6848689,-73.9861433,40.6942409,218
Boerum Hill,Green-Wood Cemetery,18,-73.9844722,40.6848689,-73.995692,40.659017,218
East Harlem North,Bloomingdale,6,-73.9464769,40.8115504,-73.9697795,40.7988958,218
Elmhurst/Maspeth,North Corona,16,-73.8932385,40.7395973,-73.8624893,40.7502698,218
Manhattanville,Bloomingdale,8,-73.9558333,40.8169443,-73.9697795,40.7988958,218
Steinway,East Elmhurst,4,-73.9124667,40.7669996,-73.8713099,40.7737505,218
Stuyvesant Heights,Stuyvesant Heights,8,-73.9330981,40.6882279,-73.9330981,40.6882279,218
Astoria,Jackson Heights,14,-73.9234619,40.7643574,-73.8830701,40.7556818,219
East Harlem North,Lenox Hill East,8,-73.9464769,40.8115504,-73.9602312,40.7662315,219
Marine Park/Floyd Bennett Field,Prospect Heights,8,-73.9441579,40.6781784,-73.9668408,40.6774196,219
Morningside Heights,Hamilton Heights,12,-73.9624327,40.8089564,-73.9496079,40.8259597,219
Central Harlem,Bloomingdale,0,-73.9538699,40.7988378,-73.9697795,40.7988958,220
Central Harlem,Garment District,18,-73.9538699,40.7988378,-73.9916342,40.7547072,220
Cobble Hill,Fort Greene,18,-73.9962255,40.686536,-73.9741874,40.6920638,220
East Harlem North,Lenox Hill East,18,-73.9464769,40.8115504,-73.9602312,40.7662315,220
Elmhurst,Elmhurst/Maspeth,10,-73.8801301,40.737975,-73.8932385,40.7395973,220
Forest Hills,Kew Gardens,20,-73.8448469,40.718106,-73.8272029,40.705695,220
Morningside Heights,Washington Heights North,18,-73.9624327,40.8089564,-73.9393554,40.8417082,220
South Williamsburg,Williamsburg (North Side),20,-73.9701967,40.7085692,-73.9634429,40.7190424,220
Boerum Hill,Clinton Hill,12,-73.9844722,40.6848689,-73.9639021,40.6893665,221
Central Harlem,Hamilton Heights,2,-73.9538699,40.7988378,-73.9496079,40.8259597,221
Clinton Hill,Clinton Hill,12,-73.9639021,40.6893665,-73.9639021,40.6893665,221
Corona,North Corona,20,-73.8642613,40.7449859,-73.8624893,40.7502698,221
East Harlem North,East Concourse/Concourse Village,16,-73.9464769,40.8115504,-73.919308,40.824062,221
Flushing,College Point,18,-73.833079,40.7674987,-73.8389657,40.786395,221
Highbridge Park,Washington Heights North,10,-73.9332427,40.8433959,-73.9393554,40.8417082,221
Morningside Heights,Washington Heights North,10,-73.9624327,40.8089564,-73.9393554,40.8417082,221
Steinway,Woodside,22,-73.9124667,40.7669996,-73.9036487,40.7512123,221
Washington Heights North,Upper West Side North,20,-73.9393554,40.8417082,-73.9753676,40.7870106,221
Williamsburg (North Side),Boerum Hill,22,-73.9634429,40.7190424,-73.9844722,40.6848689,221
Yorkville East,East Harlem North,10,-73.9492079,40.7762231,-73.9464769,40.8115504,221
East Harlem North,East Elmhurst,14,-73.9464769,40.8115504,-73.8713099,40.7737505,222
East Harlem North,Lenox Hill East,10,-73.9464769,40.8115504,-73.9602312,40.7662315,222
Fort Greene,Fort Greene,12,-73.9741874,40.6920638,-73.9741874,40.6920638,222
Prospect Heights,Fort Greene,20,-73.9668408,40.6774196,-73.9741874,40.6920638,222
Washington Heights North,Morningside Heights,16,-73.9393554,40.8417082,-73.9624327,40.8089564,222
Williamsburg (North Side),Greenpoint,10,-73.9634429,40.7190424,-73.9418603,40.7245448,222
Woodside,Elmhurst/Maspeth,12,-73.9036487,40.7512123,-73.8932385,40.7395973,222
East Harlem North,Melrose South,22,-73.9464769,40.8115504,-73.9168766,40.8209719,223
Elmhurst/Maspeth,East Elmhurst,8,-73.8932385,40.7395973,-73.8713099,40.7737505,223
Fort Greene,Prospect Heights,14,-73.9741874,40.6920638,-73.9668408,40.6774196,223
Jackson Heights,Elmhurst,22,-73.8830701,40.7556818,-73.8801301,40.737975,223
Sunnyside,Steinway,18,-73.9196324,40.7432759,-73.9124667,40.7669996,223
Williamsburg (South Side),Long Island City/Hunters Point,2,-73.9517335,40.7079936,-73.95639,40.74128,223
Woodside,Steinway,14,-73.9036487,40.7512123,-73.9124667,40.7669996,223
Brooklyn Heights,SoHo,8,-73.9932872,40.6960105,-74.0029883,40.723301,224
Clinton Hill,Clinton Hill,10,-73.9639021,40.6893665,-73.9639021,40.6893665,224
Downtown Brooklyn/MetroTech,Prospect Heights,16,-73.9861433,40.6942409,-73.9668408,40.6774196,224
Forest Hills,Hillcrest/Pomonok,22,-73.8448469,40.718106,-73.8244593,40.7370967,224
Manhattanville,Central Harlem,14,-73.9558333,40.8169443,-73.9538699,40.7988378,224
Marine Park/Floyd Bennett Field,Clinton Hill,10,-73.9441579,40.6781784,-73.9639021,40.6893665,224
Marine Park/Floyd Bennett Field,Prospect Heights,22,-73.9441579,40.6781784,-73.9668408,40.6774196,224
Marine Park/Floyd Bennett Field,Stuyvesant Heights,10,-73.9441579,40.6781784,-73.9330981,40.6882279,224
Prospect Heights,Boerum Hill,22,-73.9668408,40.6774196,-73.9844722,40.6848689,224
Randalls Island,Yorkville East,8,-73.9271644,40.7891291,-73.9492079,40.7762231,224
South Williamsburg,Williamsburg (South Side),22,-73.9701967,40.7085692,-73.9517335,40.7079936,224
Stuyvesant Heights,Stuyvesant Heights,2,-73.9330981,40.6882279,-73.9330981,40.6882279,224
Boerum Hill,Park Slope,8,-73.9844722,40.6848689,-73.9805817,40.6681038,225
Brooklyn Heights,Brooklyn Heights,10,-73.9932872,40.6960105,-73.9932872,40.6960105,225
Downtown Brooklyn/MetroTech,Fort Greene,12,-73.9861433,40.6942409,-73.9741874,40.6920638,225
Elmhurst/Maspeth,Woodside,4,-73.8932385,40.7395973,-73.9036487,40.7512123,225
Fort Greene,Clinton Hill,12,-73.9741874,40.6920638,-73.9639021,40.6893665,225
Greenpoint,Williamsburg (North Side),12,-73.9418603,40.7245448,-73.9634429,40.7190424,225
Greenpoint,Williamsburg (North Side),14,-73.9418603,40.7245448,-73.9634429,40.7190424,225
Hamilton Heights,Manhattanville,10,-73.9496079,40.8259597,-73.9558333,40.8169443,225
Hamilton Heights,Manhattanville,20,-73.9496079,40.8259597,-73.9558333,40.8169443,225
Washington Heights North,Morningside Heights,14,-73.9393554,40.8417082,-73.9624327,40.8089564,225
Gowanus,Boerum Hill,18,-73.9903489,40.6733364,-73.9844722,40.6848689,226
Rego Park,Jackson Heights,14,-73.8624893,40.7255722,-73.8830701,40.7556818,226
Stuyvesant Heights,Bushwick North,20,-73.9330981,40.6882279,-73.9212858,40.6944282,226
Clinton Hill,Prospect Heights,0,-73.9639021,40.6893665,-73.9668408,40.6774196,227
East Williamsburg,Williamsburg (South Side),0,-73.9330429,40.7158762,-73.9517335,40.7079936,227
Greenpoint,Greenpoint,2,-73.9418603,40.7245448,-73.9418603,40.7245448,227
Highbridge Park,Highbridge Park,16,-73.9332427,40.8433959,-73.9332427,40.8433959,227
Highbridge Park,Washington Heights North,12,-73.9332427,40.8433959,-73.9393554,40.8417082,227
Washington Heights North,Highbridge Park,8,-73.9393554,40.8417082,-73.9332427,40.8433959,227
Williamsburg (South Side),South Williamsburg,22,-73.9517335,40.7079936,-73.9701967,40.7085692,227
Williamsburg (South Side),Williamsburg (South Side),14,-73.9517335,40.7079936,-73.9517335,40.7079936,227
Yorkville East,East Harlem North,18,-73.9492079,40.7762231,-73.9464769,40.8115504,227
Briarwood/Jamaica Hills,Briarwood/Jamaica Hills,22,-73.8273848,40.7126936,-73.8273848,40.7126936,228
Clinton Hill,Boerum Hill,16,-73.9639021,40.6893665,-73.9844722,40.6848689,228
Cobble Hill,Boerum Hill,10,-73.9962255,40.686536,-73.9844722,40.6848689,228
Corona,Jackson Heights,22,-73.8642613,40.7449859,-73.8830701,40.7556818,228
East Harlem North,Central Harlem,4,-73.9464769,40.8115504,-73.9538699,40.7988378,228
Elmhurst,Corona,22,-73.8801301,40.737975,-73.8642613,40.7449859,228
Park Slope,Gowanus,16,-73.9805817,40.6681038,-73.9903489,40.6733364,228
Williamsburg (North Side),Chinatown,20,-73.9634429,40.7190424,-73.9970307,40.7157509,228
Williamsburg (North Side),East Village,18,-73.9634429,40.7190424,-73.9815337,40.7264773,228
Williamsburg (South Side),Clinton Hill,20,-73.9517335,40.7079936,-73.9639021,40.6893665,228
Central Harlem,Mott Haven/Port Morris,16,-73.9538699,40.7988378,-73.9218949,40.7992799,229
Stuyvesant Heights,Marine Park/Floyd Bennett Field,20,-73.9330981,40.6882279,-73.9441579,40.6781784,229
Washington Heights North,Hamilton Heights,0,-73.9393554,40.8417082,-73.9496079,40.8259597,229
Central Harlem,Manhattanville,22,-73.9538699,40.7988378,-73.9558333,40.8169443,230
Elmhurst/Maspeth,Sunnyside,16,-73.8932385,40.7395973,-73.9196324,40.7432759,230
Flushing,College Point,22,-73.833079,40.7674987,-73.8389657,40.786395,230
Highbridge Park,Washington Heights North,16,-73.9332427,40.8433959,-73.9393554,40.8417082,230
Jackson Heights,North Corona,12,-73.8830701,40.7556818,-73.8624893,40.7502698,230
Steinway,Woodside,16,-73.9124667,40.7669996,-73.9036487,40.7512123,230
Sunnyside,Woodside,16,-73.9196324,40.7432759,-73.9036487,40.7512123,230
Williamsburg (North Side),Stuyvesant Heights,4,-73.9634429,40.7190424,-73.9330981,40.6882279,230
Brooklyn Heights,Cobble Hill,8,-73.9932872,40.6960105,-73.9962255,40.686536,231
East Harlem North,Bloomingdale,0,-73.9464769,40.8115504,-73.9697795,40.7988958,231
Prospect Heights,Boerum Hill,8,-73.9668408,40.6774196,-73.9844722,40.6848689,231
Prospect Heights,Park Slope,12,-73.9668408,40.6774196,-73.9805817,40.6681038,231
South Williamsburg,Williamsburg (North Side),2,-73.9701967,40.7085692,-73.9634429,40.7190424,231
Sunnyside,Woodside,14,-73.9196324,40.7432759,-73.9036487,40.7512123,231
Woodside,Sunnyside,12,-73.9036487,40.7512123,-73.9196324,40.7432759,231
Yorkville East,Central Harlem,6,-73.9492079,40.7762231,-73.9538699,40.7988378,231
Downtown Brooklyn/MetroTech,Prospect Heights,18,-73.9861433,40.6942409,-73.9668408,40.6774196,232
Elmhurst,Sunnyside,20,-73.8801301,40.737975,-73.9196324,40.7432759,232
Jackson Heights,Elmhurst,4,-73.8830701,40.7556818,-73.8801301,40.737975,232
Briarwood/Jamaica Hills,South Ozone Park,18,-73.8273848,40.7126936,-73.8124984,40.6764003,233
Cobble Hill,Brooklyn Heights,20,-73.9962255,40.686536,-73.9932872,40.6960105,233
Coney Island,Coney Island,8,-73.9859414,40.5749261,-73.9859414,40.5749261,233
Corona,Jackson Heights,16,-73.8642613,40.7449859,-73.8830701,40.7556818,233
Greenpoint,Williamsburg (North Side),10,-73.9418603,40.7245448,-73.9634429,40.7190424,233
Jackson Heights,Elmhurst,0,-73.8830701,40.7556818,-73.8801301,40.737975,233
Long Island City/Hunters Point,Williamsburg (North Side),10,-73.95639,40.74128,-73.9634429,40.7190424,233
Stuyvesant Heights,Marine Park/Floyd Bennett Field,16,-73.9330981,40.6882279,-73.9441579,40.6781784,233
Sunnyside,Astoria,16,-73.9196324,40.7432759,-73.9234619,40.7643574,233
Williamsburg (South Side),East Williamsburg,20,-73.9517335,40.7079936,-73.9330429,40.7158762,233
Astoria,Astoria Park,2,-73.9234619,40.7643574,-73.9215888,40.7796684,234
Clinton Hill,Clinton Hill,14,-73.9639021,40.6893665,-73.9639021,40.6893665,234
East Harlem North,East Elmhurst,8,-73.9464769,40.8115504,-73.8713099,40.7737505,234
East Harlem North,Melrose South,16,-73.9464769,40.8115504,-73.9168766,40.8209719,234
Elmhurst/Maspeth,Woodside,10,-73.8932385,40.7395973,-73.9036487,40.7512123,234
Forest Hills,Kew Gardens,18,-73.8448469,40.718106,-73.8272029,40.705695,234
Fort Greene,Clinton Hill,0,-73.9741874,40.6920638,-73.9639021,40.6893665,234
Hamilton Heights,Manhattanville,18,-73.9496079,40.8259597,-73.9558333,40.8169443,234
Marine Park/Floyd Bennett Field,Prospect Heights,16,-73.9441579,40.6781784,-73.9668408,40.6774196,234
Prospect Heights,Crown Heights North,20,-73.9668408,40.6774196,-73.9447994,40.6681032,234
Clinton Hill,Boerum Hill,18,-73.9639021,40.6893665,-73.9844722,40.6848689,235
Downtown Brooklyn/MetroTech,Boerum Hill,20,-73.9861433,40.6942409,-73.9844722,40.6848689,235
Morningside Heights,Manhattanville,8,-73.9624327,40.8089564,-73.9558333,40.8169443,235
Prospect Heights,Park Slope,10,-73.9668408,40.6774196,-73.9805817,40.6681038,235
Rego Park,Forest Hills,14,-73.8624893,40.7255722,-73.8448469,40.718106,235
Central Harlem,Mott Haven/Port Morris,18,-73.9538699,40.7988378,-73.9218949,40.7992799,236
Clinton Hill,Prospect Heights,16,-73.9639021,40.6893665,-73.9668408,40.6774196,236
Cobble Hill,Boerum Hill,22,-73.9962255,40.686536,-73.9844722,40.6848689,236
Fort Greene,Boerum Hill,14,-73.9741874,40.6920638,-73.9844722,40.6848689,236
Fort Greene,Downtown Brooklyn/MetroTech,14,-73.9741874,40.6920638,-73.9861433,40.6942409,236
Homecrest,Manhattan Beach,8,-73.9583652,40.5942311,-73.9389213,40.578158,236
Marine Park/Floyd Bennett Field,Clinton Hill,14,-73.9441579,40.6781784,-73.9639021,40.6893665,236
Steinway,Astoria Park,2,-73.9124667,40.7669996,-73.9215888,40.7796684,236
Sunnyside,Sunnyside,14,-73.9196324,40.7432759,-73.9196324,40.7432759,236
